店名,経度,緯度,レストラン　カフェ,肉　魚　麺,そば ラーメン,日本食　中華　その他,郵便番号,住所,営業日/営業時間,電話番号（正式）,URL,,,
Antique Cafe Road,"34.8108741,138.0747031",34.8108741,カフェ,,,,436-0009,掛川市大野1776-7,月火曜日、定休日、水木金土日曜日、11時00分～16時00分,19048530851,https://www.instagram.com/antiquecaferoad/,,,
CAFE FRAIS,"34.76216615,138.0166945",34.76216615,カフェ,,,,436-0024,掛川市南西郷424-13,火金曜日、17時30分～19時30分　、土日曜日、11時00分～20時00分　月水木曜日、定休日,1537287788,https://www.cafe-frais.jp/,,,
Cafe Riad,"34.78989763,137.9769542",34.78989763,カフェ,,,,436-0227,掛川市家代の里2丁目5-7,木金土曜日、11時30分～16時30分　、日月火水曜日、定休日,1537297257,http://caferiad.her.jp/,,,
cafe TOM,"34.71873572,138.0538745",34.71873572,カフェ,,,,437-1401,掛川市高瀬15-3,木金曜日、12時00分～20時00分　、日曜日、12時00分～18時00分　、土月火水曜日、定休日,1537745777,http://www.cafe-tom.com/,,,
cafePIT,"34.83136152,138.0061566",34.83136152,カフェ,,,,436-0342,掛川市上西郷332-3,金土日曜日、11時30分～22時00分　、月火水木曜日、定休日,19023446611,http://pit.hamazo.tv/,,,
Coffee Shop Popcorn,"34.77042069,138.0156969",34.77042069,カフェ,,,,436-0077,掛川市駅前8-6,9:00～19:00,53222464,なし,,,
irie cafe,"34.77891717,138.0311604",34.77891717,カフェ,,,,436-0086,掛川市成滝600-1,木金土日月火曜日、11時00分～17時00分　、水曜日、定休日,1537296620,https://www.sbs-mhc.co.jp/iriecafe/,,,
JA掛川市 いっぷく茶屋,"34.77867031,138.0131497",34.77867031,カフェ,,,,436-0053,掛川市弥生町２３４,10時00分～17時00分　定休日水,1120129557,https://www.ja-kakegawa.jp/ippuku/,,,
KIMIKURA CAFE きみくらカフェ,"34.78483827,138.0022591",34.78483827,カフェ,,,,436-0043,掛川市大池2242-1,月火水木金土日曜日、10時00分～18時00分,1537257744,https://kimikura.co.jp/honten,,,
Kiwi Cafe & Kiwi Shop 掛川市 クラフトビールが飲めるカフェ(キウイカフェ＆キウイショップ),"34.75169998,138.0515488",34.75169998,カフェ,,,,436-0012,掛川市上内田2040,月火水木金曜日、定休日　、土日曜日、11時00分～16時00分,1537226543,http://www.kiwicountry.jp/,,,
kosaji-ichi,"34.7806895,138.0131848",34.7806895,カフェ,,,,436-0053,掛川市弥生町195,月火水曜日、11時00分～17時00分　、土日曜日、11時00分～18時00分　、木曜日、定休日,1537889128,https://www.kosaji-ichi.store/,,,
Number A coffee,"34.79221725,138.0276748",34.79221725,カフェ,,,,436-0061,掛川市水垂936-1,月水木金曜日、9時00分～17時00分　、土日曜日、7時30分～17時00分　、火曜日、定休日,1537287242,https://m.facebook.com/pages/category/Coffee-Shop/Number-A-Coffee-1580096218922774/,,,
SAM'S CAFE,"34.77163278,137.9982348",34.77163278,カフェ,,,,436-0046,掛川市中央高町126,金土日月火曜日、10時30分～19時00分、水木曜日　定休日,1537216807,？,,,
SARAH,"35.70064787,139.7855448",35.70064787,カフェ,,,,436-0077,掛川市駅前9-14,月火水木金曜日、10時00分～19時00分、　土日定休日,1364554003,なさそ,,,
stationery cafe konohi,"34.78811045,137.964581",34.78811045,カフェ,,,,436-0112,掛川市細谷535-1,臨時休業,1537261036,http://konohi.jp/,,,
Tea time まるは (お茶畑や 松下園),"34.77557199,138.0443218",34.77557199,カフェ,,,,436-0011,掛川市満水592,木金土日月火曜日、10時00分～17時00分　、水曜日、定休日,1537226528,https://shop.suppinn.com/cafe/,,,
いなてん,"34.77856274,138.0219481",34.77856274,カフェ,,,,436-0071,掛川市仁藤58-10,10時00分～17時00分,1537226628,,,,
ウオコー,"34.77180335,138.0160206",34.77180335,カフェ,,,,436-0078,掛川市肴町1-1,,,,,,
かき氷 森平,"34.77313144,138.0200137",34.77313144,カフェ,,,,436-0075,掛川市仁藤町12-4,11:00～17:00　定休日7月まで月火　8月から月火金,18026502803,,,,
カフェ・ド・ラーフ,"34.76917946,138.0143582",34.76917946,カフェ,,,,436-0029,掛川市南1丁目1-1,7時30分～18時30分,1537226260,https://www.jishowtay.jp/,,,
カンパーニャ,"34.78230197,138.0492006",34.78230197,カフェ,,,,436-0084,掛川市逆川321-1,10時00分～17時00分　定休日、月,1537271140,,,,
くずかわ茶寮 寅や,"34.77752617,138.024382",34.77752617,カフェ,,,,436-0074,掛川市葛川1177-2,11時30分～14時30分、17時00分～21時30分　定休日、水,1120125464,https://tora88.com/,,,
クレープ スペース クリーピー,"34.77209924,138.0078609",34.77209924,カフェ,,,,436-0056,掛川市中央2丁目3-1,11時00分～18時30分　定休日、火,1537889215,,,,
しばちゃんランチマーケット,"34.84866273,138.0121279",34.84866273,カフェ,,,,436-0335,掛川市大和田25,10時00分～17時00分　定休日、火,19023422725,http://www.shibachanchi.com/,,,
ジュアン,"34.77188361,138.0241562",34.77188361,カフェ,,,,436-0022,掛川市上張257-5,9時00分～21時00分,1537233532,,,,
セントクロワール(St.CROIRE),"34.76835982,138.0242683",34.76835982,カフェ,,,,436-0021,掛川市緑ヶ丘2丁目7-1,10時00分～17時00分,537311050,https://st-croire.jp/service/cafe/,,,
ダイン（Ｄｙｎｅ）,"34.7796076,138.0138905",34.7796076,カフェ,,,,436-0064,掛川市北門38,18時00分～2時00分,1537239101,,,,
たこやき倶楽部 ポッポ,"34.67190558,138.0458472",34.67190558,カフェ,,,日本食　たこやき,437-1412,掛川市大坂鷲田539　大東ショッピングプラザ内,10時00分～18時00分　定休日、月,526132126,,,,
たまカフェ,"34.83582543,138.0628777",34.83582543,カフェ,,,,436-0011,掛川市満水1652,土・日11時00分～15時30分　定休日、平日,1537242722,https://22centuryhillpark.jp/,,,
たまゆら,"34.77631779,138.0208328",34.77631779,カフェ,,,,436-0079,掛川市掛川906,11時00分～18時00分　定休日、水・日,537297033,,,,
ちゃまり場,"34.83613659,138.0756075",34.83613659,カフェ,,,,436-0001,掛川市東山1172-3　1階（株）ショータイム,金のみ営業　13時00分～17時00分,1537295588,http://www.showtime-j.com/,,,
ビレッジ（ＶＩＬＬＡＧＥ）,"34.79803591,137.9940671",34.79803591,カフェ,,,,436-0222,掛川市下垂木303-1,火水木金土日曜日、11時00分～18時00分　月曜日、定休日,1537223799,https://kakegawavillage.hamazo.tv/,,,
ファニーファーム,"34.77113494,138.015513",34.77113494,カフェ,,,,436-0078,掛川市駅前7-20　ウィタス138内,木金土日月火曜日、11時00分～21時00分　、水曜日、11時00分～14時00分,1537620818,https://instagram.com/team_funnyfarm?igshid=15e214ody67to,,,
プティムーン,"34.78910914,138.0094851",34.78910914,カフェ,,,,436-0342,掛川市西郷881-1,金土日曜日、13時00分～17時30分　、月火水木曜日、定休日,537621150,http://petit-moon.com/,,,
プルミエ,"34.7739968,138.0187627",34.7739968,カフェ,,,,436-0075,掛川市仁藤7-5,月火水木金土日曜日、10時00分～20時00分,1537243502,,,,
ポワ・ポワ,"34.79364889,138.0194952",34.79364889,カフェ,,,,436-0081,掛川市初馬278-1,火水木金土日曜日、11時00分～17時30分　、火曜日、月曜日、定休日,1537244107,http://powapowa2009.com/,,,
ミスターパパ,"34.74062686,138.0449669",34.74062686,カフェ,,,,436-0013,掛川市子隣283-45,金土日月火曜日、11時00分～21時00分　、水曜日、11時00分～14時30分　、木曜日、定休日,1537248483,http://mrpapa.la.coocan.jp/,,,
やまき,"34.72886224,138.0224029",34.72886224,カフェ,,,,437-1438,掛川市入山瀬814,金土日月火水曜日　9時00～18時00分　、木曜日　定休日　4～6月、12月は無休,537742384,,,,
ゆたか,"34.78544699,138.002346",34.78544699,カフェ,,,日本食,436-0058,掛川市七日町40,火水木金土日曜日、12時00分～20時00分、月曜日、　定休日,1537243078,ない,,,
ラ・マレア１９８０ダン,"34.74600313,138.0436365",34.74600313,カフェ,,,,436-0012,掛川市内山田813-1,水木金土日曜日、11時00分～18時00分　、月火曜日　定休日,1537247244,,,,
卯屋,"34.77928041,137.9875651",34.77928041,カフェ,,,,436-0043,掛川市大地2748-1,10時00分～18時00分　定休日、月火,1537213178,http://www.tama-usagi.jp/,,,
果樹園のあるお菓子屋 atelierTAKOMAN,"34.75310418,138.0004018",34.75310418,カフェ,,,,436-0025,掛川市下俣1-90,9時00分～15時30分,1537212020,http://kajyukouen.takoman.net/,,,
開運占いカフェ 七夢,"34.79805218,138.0750165",34.79805218,カフェ,,,,436-0004,掛川市八坂640-1　事務八幡宮前,平日10時00分～16時00分　土日10時00分～17時00分,1537271300,https://www.nanayume.jp/,,,
